Date,Open,High,Low,Close,Volume
2000-10-02,29.9276,29.9276,27.7864,27.9613,95679964.51615
2000-10-03,29.1402,29.6258,27.9613,28.096,116339791.52097
2000-10-04,28.5747,29.7967,28.4008,29.2741,91296509.738545
2000-10-05,29.3571,29.5359,28.228,28.5747,74601079.662928
2000-10-06,28.8346,29.447,27.3566,27.8382,99904679.536643
2000-10-09,28.1869,28.269,26.4823,27.2238,81008280.791243
2000-10-10,27.3048,28.0043,26.0916,26.1747,98684361.575397
2000-10-11,25.781,26.5664,24.3871,24.6479,174863349.78392
2000-10-12,25.8699,26.8301,24.3871,25.8699,143569013.50249
2000-10-13,25.8699,28.4008,25.74,28.1361,115913302.35998
2000-10-16,27.2638,27.3048,24.6479,24.8638,131885976.63102
2000-10-17,25.3414,25.5183,24.3871,25.2125,112665928.30376
2000-10-18,25.2633,27.7454,24.563,26.6093,24054052.151251
2000-10-19,29.317,29.4919,28.4848,29.2321,92048219.91888
2000-10-20,29.0084,30.9298,28.8346,30.0155,85814652.908702
2000-10-23,30.4473,31.3675,29.5359,30.1913,62672621.10866
2000-10-24,30.4052,31.0187,29.0084,29.2741,67243893.891406
2000-10-25,29.2741,30.3622,28.7017,28.7945,76253629.954127
2000-10-26,29.2741,31.3675,29.0533,31.1428,72795233.852152
2000-10-27,31.9799,32.7643,31.2786,32.3237,71915446.908824
2000-10-30,32.0668,32.1518,30.5801,31.3675,70358740.996476
2000-10-31,31.8431,32.7232,31.1428,31.3675,79932656.904708
2000-11-01,30.8859,32.4565,30.797,31.2786,68271953.896739
2000-11-02,32.4175,33.3728,32.3237,32.5425,93854920.550704
2000-11-03,32.8903,32.9792,31.7582,32.0668,44560306.203551
2000-11-06,32.5425,33.0709,32.3754,32.4986,35219340.804423
2000-11-07,32.6334,32.6744,31.6263,32.2407,30147359.918799
2000-11-08,32.2847,32.3237,29.6258,29.7967,54546534.551929
2000-11-09,29.5359,29.5798,27.8792,28.8824,70005594.457842
2000-11-10,26.5234,27.2238,25.8269,25.8269,134783049.1159
2000-11-13,25.8269,27.7454,25.1275,26.6572,116607410.91014
2000-11-14,28.269,28.7945,27.5315,28.5747,69736833.601039
2000-11-15,29.1003,29.9276,28.4438,28.9674,60115787.876426
2000-11-16,28.7945,29.9725,27.7454,27.9192,56623292.092592
2000-11-17,28.0043,29.1402,27.5695,28.9674,58718385.800711
2000-11-20,28.6187,29.9725,28.3549,28.7017,53718180.194889
2000-11-21,29.6258,30.2802,28.9273,29.7488,52664331.211028
2000-11-22,29.4919,30.6289,28.6607,28.7486,52581813.850654
2000-11-24,29.8826,30.713,29.317,30.6719,29632757.646711
2000-11-27,31.7152,32.6334,30.5381,30.6719,75820115.904466
2000-11-28,30.1473,31.1428,29.317,29.317,71203421.923702
2000-11-29,29.5798,30.3622,28.5747,29.8417,87980374.286567
2000-11-30,26.876,27.1808,25.6951,26.5664,113114632.57468
2000-12-01,26.876,26.876,23.6007,23.8156,1655274.457444
2000-12-04,24.5141,24.6479,22.3797,22.9903,118559394.2659
2000-12-05,24.1683,25.4762,23.7317,25.1275,107550402.73149
2000-12-06,24.6479,24.6479,21.8132,22.1619,146146619.39811
2000-12-07,22.6425,23.211,21.9451,22.5507,97797266.168026
2000-12-08,24.2562,24.3451,23.0342,23.7317,126103110.18043
2000-12-11,24.5141,26.6572,23.9495,26.1346,104682540.5568
2000-12-12,25.781,26.4404,25.3942,25.4762,69006325.03022
2000-12-13,26.3485,26.4404,24.563,24.7769,69798003.981133
2000-12-14,24.8208,25.5623,24.0794,24.5141,48291481.333133
2000-12-15,24.1234,24.2562,22.5507,22.6425,115820327.51814
2000-12-18,23.8645,24.0794,22.6044,23.211,55237071.280957
2000-12-19,23.5578,25.3024,23.2501,23.3419,78411763.387534
2000-12-20,22.9903,23.8156,21.987,22.2948,90472455.080199
2000-12-21,22.3348,24.0403,22.0691,23.1153,73909970.664479
2000-12-22,23.467,24.431,22.3348,22.9903,65076452.634063
2000-12-26,23.1153,23.6496,22.3348,22.9531,40738874.255945
2000-12-27,22.8183,23.5158,22.5507,22.7284,48167557.87433
2000-12-28,22.4178,22.8183,20.9849,21.5953,70685812.933741
2000-12-29,21.5953,21.9451,20.8081,20.9849,77439428.50102
2001-01-02,21.4225,22.2528,21.1157,21.6842,72123325.05585
2001-01-03,21.024,24.1683,21.024,23.8645,112164226.15151
2001-01-04,23.7317,24.6958,22.8183,23.5578,98521321.095853
2001-01-05,23.7766,24.1683,22.1619,22.3797,64432618.822761
2001-01-08,21.987,22.5507,21.3736,22.2948,64570292.103745
2001-01-09,22.6816,22.9903,22.2528,22.5097,58472402.085872
2001-01-10,22.0691,23.2999,21.7214,23.0342,73772871.70039
2001-01-11,22.6044,23.9075,22.3348,23.2999,93056655.894623
2001-01-12,23.4249,23.6007,22.2019,22.4178,73601245.132047
2001-01-16,22.4726,22.6044,21.6374,21.9041,86389856.362676
2001-01-17,23.0342,23.0772,21.024,21.2906,10640803.216515
2001-01-18,21.5953,22.5507,20.9399,22.4726,124114453.46602
2001-01-19,23.2999,24.1683,22.5507,23.4249,116543799.93917
2001-01-22,22.8183,23.6496,22.6816,23.2999,65552800.896362
2001-01-23,23.3419,25.0426,22.8613,24.6958,121135427.70028
2001-01-24,24.9097,25.8699,24.563,25.3024,105412474.81073
2001-01-25,24.9976,25.1696,23.9495,24.0794,65744490.677803
2001-01-26,23.8156,25.1696,23.5578,25.0426,68858050.944477
2001-01-29,24.6069,26.0916,24.2562,25.8699,70332385.890954
2001-01-30,26.0916,26.6572,25.6951,25.8269,87113768.99095
2001-01-31,26.0418,26.9151,25.4762,25.8269,102998610.65504
2001-02-01,25.8699,26.4823,25.4762,26.3934,72057568.330482
2001-02-02,26.2606,26.6572,24.7769,24.9097,67550764.410971
2001-02-05,24.4721,24.6479,23.5158,24.2113,56138198.038401
2001-02-06,24.1234,25.0865,24.0794,24.7388,57777281.059047
2001-02-07,24.431,25.1696,23.6496,24.3871,76142028.203297
2001-02-08,24.6958,25.2125,24.1234,24.1683,61458884.757631
2001-02-09,23.9495,24.8208,23.3419,23.3839,58583720.261336
2001-02-12,23.5158,24.563,23.467,24.1234,43669780.250864
2001-02-13,23.8156,24.6069,22.6044,22.6425,60043147.538196
2001-02-14,22.7284,24.1234,22.2948,23.8156,67967806.519681
2001-02-15,24.7388,25.4762,24.5141,24.9976,83572424.534994
2001-02-16,24.2562,24.6479,23.467,23.9954,59517511.420268
2001-02-20,23.7766,23.8156,21.9041,21.9451,75067840.620874
2001-02-21,21.6374,22.8613,21.2906,21.4615,73657254.849971
2001-02-22,21.5953,22.1219,20.6771,20.9399,83752081.302518
2001-02-23,21.2036,21.4615,19.8938,20.898,90975600.702742
2001-02-26,21.3306,21.4225,19.8498,20.5922,86432117.282154
2001-02-27,20.5922,21.5582,20.2415,20.2415,58385869.625908
2001-02-28,20.5082,21.0718,19.5431,19.9357,67965082.353436
2001-03-01,19.718,20.4183,18.8906,20.3275,79927786.984067
